,S_INFO_WINDCODE,S_INFO_LISTDATE,S_INFO_DELISTDATE,type,update_time
0,000001.SZ,19910403,,stockuni_new,2025-06-24 16:59:40.394478
1,000002.SZ,19910129,,stockuni_new,2025-06-24 16:59:40.394478
2,000003.SZ,19910703,20020614.0,stockuni_new,2025-06-24 16:59:40.394478
3,000004.SZ,19901201,,stockuni_new,2025-06-24 16:59:40.394478
4,000005.SZ,19901210,20240426.0,stockuni_new,2025-06-24 16:59:40.394478
5,000006.SZ,19920427,,stockuni_new,2025-06-24 16:59:40.394478
6,000007.SZ,19920413,,stockuni_new,2025-06-24 16:59:40.394478
7,000008.SZ,19920507,,stockuni_new,2025-06-24 16:59:40.394478
8,000009.SZ,19910625,,stockuni_new,2025-06-24 16:59:40.394478
9,000010.SZ,19951027,,stockuni_new,2025-06-24 16:59:40.394478
10,000011.SZ,19920330,,stockuni_new,2025-06-24 16:59:40.394478
11,000012.SZ,19920228,,stockuni_new,2025-06-24 16:59:40.394478
12,000013.SZ,19920506,20040920.0,stockuni_new,2025-06-24 16:59:40.394478
13,000014.SZ,19920602,,stockuni_new,2025-06-24 16:59:40.394478
14,000015.SZ,19920625,20011022.0,stockuni_new,2025-06-24 16:59:40.394478
15,000016.SZ,19920327,,stockuni_new,2025-06-24 16:59:40.394478
16,000017.SZ,19920331,,stockuni_new,2025-06-24 16:59:40.394478
17,000018.SZ,19920616,20200107.0,stockuni_new,2025-06-24 16:59:40.394478
18,000019.SZ,19921012,,stockuni_new,2025-06-24 16:59:40.394478
19,000020.SZ,19920428,,stockuni_new,2025-06-24 16:59:40.394478
20,000021.SZ,19940202,,stockuni_new,2025-06-24 16:59:40.394478
21,000023.SZ,19930429,20240902.0,stockuni_new,2025-06-24 16:59:40.394478
22,000024.SZ,19930607,20151230.0,stockuni_new,2025-06-24 16:59:40.394478
23,000025.SZ,19930621,,stockuni_new,2025-06-24 16:59:40.394478
24,000026.SZ,19930603,,stockuni_new,2025-06-24 16:59:40.394478
