,valuation_date,code,open,high,low,close,pre_close,pct_chg,vwap,volume,amt,trade_status,adjfactor_jy,adjfactor_wind,update_time
0,2025-07-08,000001.SZ,12.75,12.84,12.65,12.69,12.78,-0.0070422535211267,12.714128688565996,109098597.0,1387093602.0,1,174.334,80.897488,2025-07-14 23:46:30.697947
1,2025-07-08,000002.SZ,6.51,6.58,6.47,6.56,6.52,0.0061349693251533,6.52595205866224,93478326.0,610035074.0,1,145.294,181.703787,2025-07-14 23:46:30.697947
2,2025-07-08,000004.SZ,9.22,9.44,9.1,9.35,9.21,0.0152008686210639,9.23517547718552,8183400.0,75575135.0,1,5.88756,4.063862,2025-07-14 23:46:30.697947
3,2025-07-08,000006.SZ,6.31,6.44,6.29,6.42,6.35,0.0110236220472441,6.368176399432867,28887077.0,183958002.0,1,72.639,39.739675,2025-07-14 23:46:30.697947
4,2025-07-08,000007.SZ,7.25,7.32,7.18,7.28,7.23,0.0069156293222682,7.258392450934664,6967750.0,50574664.0,1,12.0499,8.283528,2025-07-14 23:46:30.697947
5,2025-07-08,000008.SZ,2.84,2.89,2.81,2.85,2.84,0.0035211267605635,2.8449803946416505,65875357.99999999,187414102.0,1,26.7392,22.408293,2025-07-14 23:46:30.697947
6,2025-07-08,000009.SZ,8.9,9.0,8.89,8.9,8.89,0.0011248593925758,8.935284804877197,24023307.0,214655090.0,1,11.9794,8.976949,2025-07-14 23:46:30.697947
7,2025-07-08,000010.SZ,2.98,3.0,2.94,2.99,2.98,0.0033557046979865,2.968277988798043,15533000.0,46106262.0,1,10.5436,10.774549,2025-07-14 23:46:30.697947
8,2025-07-08,000011.SZ,8.56,8.78,8.55,8.76,8.62,0.0162412993039442,8.672046248845755,9840851.0,85340315.0,1,4.70881,4.410767,2025-07-14 23:46:30.697947
9,2025-07-08,000012.SZ,4.75,4.87,4.74,4.85,4.75,0.0210526315789473,4.826844749749255,26793187.0,129326554.0,1,32.7815,29.927687,2025-07-14 23:46:30.697947
10,2025-07-08,000014.SZ,12.31,12.31,12.02,12.19,12.43,-0.0193081255028158,12.118339045607753,20418020.0,247432489.0,1,11.4149,6.776122,2025-07-14 23:46:30.697947
11,2025-07-08,000016.SZ,5.22,5.38,5.15,5.31,5.21,0.0191938579654509,5.290246793472518,83360349.0,440996819.0,1,21.6873,22.375458,2025-07-14 23:46:30.697947
12,2025-07-08,000017.SZ,6.37,6.44,6.34,6.4,6.39,0.0015649452269171,6.389545880872384,8422900.0,53818506.0,1,3.12475,2.682736,2025-07-14 23:46:30.697947
13,2025-07-08,000019.SZ,6.78,6.83,6.73,6.78,6.790000000000001,-0.0014727540500737,6.769586850524652,7759032.000000001,52525441.0,1,5.63497,4.861748,2025-07-14 23:46:30.697947
14,2025-07-08,000020.SZ,13.67,13.85,13.66,13.79,13.7,0.0065693430656934,13.778197787597664,3654941.000000001,50358500.0,1,1.76392,1.751825,2025-07-14 23:46:30.697947
15,2025-07-08,000021.SZ,18.71,19.36,18.3,18.86,18.01,0.0471960022209882,18.86470977536217,91906825.0,1733795580.0,1,14.2276,14.740249,2025-07-14 23:46:30.697947
16,2025-07-08,000025.SZ,17.2,17.26,17.11,17.22,17.21,0.0005810575246947,17.19615762841238,5725110.0,98449894.0,1,2.76886,2.767884,2025-07-14 23:46:30.697947
17,2025-07-08,000026.SZ,17.38,17.39,16.48,16.77,17.16,-0.0227272727272727,16.7541465062402,28745465.000000004,481605732.0,1,10.2565,8.988185,2025-07-14 23:46:30.697947
18,2025-07-08,000027.SZ,6.6,6.67,6.53,6.66,6.59,0.0106221547799696,6.600412917347968,47270477.0,312004667.0,1,17.1093,18.456176,2025-07-14 23:46:30.697947
19,2025-07-08,000028.SZ,25.0,25.1,24.94,25.04,25.02,0.0007993605115907,25.01710516461132,2964134.0,74154052.0,1,5.67997,5.686441,2025-07-14 23:46:30.697947
20,2025-07-08,000029.SZ,18.6,18.78,18.31,18.45,18.66,-0.0112540192926046,18.581641689968546,4577600.0,85059323.0,1,2.29483,2.291226,2025-07-14 23:46:30.697947
21,2025-07-08,000030.SZ,5.78,5.83,5.76,5.8,5.8,0.0,5.807936539120916,6973367.0,40500873.0,1,4.23273,4.232673,2025-07-14 23:46:30.697947
22,2025-07-08,000031.SZ,2.73,2.8,2.72,2.8,2.72,0.0294117647058821,2.757331960521396,28913890.000000004,79725193.0,1,13.7824,14.651032,2025-07-14 23:46:30.697947
23,2025-07-08,000032.SZ,19.73,20.16,19.72,20.07,19.77,0.0151745068285281,19.934560715983864,13039400.0,259934711.0,1,4.2502,4.255847,2025-07-14 23:46:30.697947
24,2025-07-08,000034.SZ,36.05,37.38,36.03,36.87,36.05,0.0227461858529819,36.84765729569106,21890428.0,806610989.0,1,2.74946,3.237795,2025-07-14 23:46:30.697947
25,2025-07-08,000035.SZ,4.31,4.34,4.29,4.34,4.31,0.0069605568445476,4.316952973352946,16654110.999999998,71895014.0,1,4.72112,4.713782,2025-07-14 23:46:30.697947
26,2025-07-08,000036.SZ,3.71,3.78,3.69,3.77,3.71,0.0161725067385444,3.752113401456523,23843080.0,89461940.0,1,9.50432,12.839916,2025-07-14 23:46:30.697947
27,2025-07-08,000037.SZ,10.57,11.41,10.36,10.53,10.56,-0.0028409090909092,10.764649801412952,105215573.0,1132608797.0,1,5.67085,5.668325,2025-07-14 23:46:30.697947
28,2025-07-08,000039.SZ,8.03,8.06,8.0,8.06,8.03,0.0037359900373599,8.034140144896503,27969067.0,224707404.0,1,50.8746,50.911185,2025-07-14 23:46:30.697947
29,2025-07-08,000042.SZ,7.53,8.15,7.52,7.96,7.52,0.0585106382978724,7.92632328740611,18187470.0,144159767.0,1,13.5091,13.497855,2025-07-14 23:46:30.697947
30,2025-07-08,000045.SZ,10.95,11.27,10.91,11.22,10.98,0.0218579234972678,11.146728879769562,10137200.0,112996620.0,1,3.01733,3.014315,2025-07-14 23:46:30.697947
31,2025-07-08,000048.SZ,15.74,15.78,15.63,15.73,15.739999999999998,-0.0006353240152477,15.694244904494642,3834654.0,60181999.0,1,9.98711,9.980166,2025-07-14 23:46:30.697947
32,2025-07-08,000049.SZ,22.24,22.56,22.17,22.55,22.24,0.0139388489208634,22.43851364982065,4520792.0,101439853.0,1,8.0429,9.403118,2025-07-14 23:46:30.697947
