,valuation_date,code,open,high,low,close,pre_close,pct_chg,vwap,volume,trade_status,amt,adjfactor_jy,adjfactor_wind
0,2016-05-18,000001.SZ,10.29,10.32,10.17,10.3,10.3,0.0,10.242,53415062.0,1,547076639,113.837,85.994083
1,2016-05-18,000002.SZ,24.43,24.43,24.43,24.43,24.43,0.0,24.43,0.0,0,0,101.911,127.447467
2,2016-05-18,000004.SZ,36.83,36.83,36.83,36.83,36.83,0.0,36.83,0.0,0,0,5.88756,4.063862
3,2016-05-18,000005.SZ,6.88,6.91,6.55,6.69,7.0,-0.044286,6.7543,18442871.0,1,,,9.267603
4,2016-05-18,000006.SZ,7.34,7.4,7.1,7.19,7.38,-0.025745,7.2052,8815913.0,1,63520287,58.3401,32.002043
5,2016-05-18,000007.SZ,23.79,23.79,23.79,23.79,23.79,0.0,23.79,0.0,0,0,8.03328,5.521192
6,2016-05-18,000008.SZ,11.06,11.2,10.73,10.94,11.41,-0.041192,10.9145,15629451.999999998,1,170587726,26.2795,22.020925
7,2016-05-18,000009.SZ,12.5,12.52,11.91,12.11,12.58,-0.037361,12.137,41140742.0,1,499326126,7.18163,5.395983
8,2016-05-18,000010.SZ,8.15,8.15,7.56,7.67,8.15,-0.058896,7.8053,11388153.0,1,88888323,10.5436,10.774549
9,2016-05-18,000011.SZ,12.3,12.38,11.97,12.1,12.55,-0.035857,12.1357,6064202.0,1,73593548,3.57009,3.345342
10,2016-05-18,000012.SZ,10.8,10.83,10.42,10.68,10.88,-0.018382,10.6205,10036110.0,1,106588595,18.7521,17.123396
11,2016-05-18,000014.SZ,17.5,17.5,16.59,16.86,17.7,-0.047458,16.9099,4458796.0,1,75397740,9.03757,5.362246
12,2016-05-18,000016.SZ,4.57,4.57,4.29,4.33,4.6,-0.058696,4.4135,26903435.0,1,118739627,19.9145,20.554173
13,2016-05-18,000017.SZ,10.46,10.46,10.0,10.18,10.59,-0.038716,10.1757,5831935.0,1,59343982,3.12475,2.682736
14,2016-05-18,000018.SZ,43.85,43.97,40.48,41.12,44.44,-0.074707,42.0541,4822907.0,1,,,1.731494
15,2016-05-18,000019.SZ,15.79,16.95,15.4,16.58,16.23,0.0215649999999999,16.0442,22897117.0,1,367366681,2.83691,2.446165
16,2016-05-18,000020.SZ,20.34,20.34,19.5,19.79,20.6,-0.03932,19.8325,3477601.0,1,68969381,1.76392,1.751825
