,code,HoldingQty,HoldingQty_yes,direction,type,difference,action,product_code
6,000063,2900.0,0.0,多,stock,2900.0,开仓,SGS958
7,000100,6700.0,0.0,多,stock,6700.0,开仓,SGS958
8,000166,3000.0,0.0,多,stock,3000.0,开仓,SGS958
9,000301,900.0,0.0,多,stock,900.0,开仓,SGS958
10,000333,1700.0,0.0,多,stock,1700.0,开仓,SGS958
11,000338,4900.0,0.0,多,stock,4900.0,开仓,SGS958
12,000408,200.0,0.0,多,stock,200.0,开仓,SGS958
13,000538,100.0,0.0,多,stock,100.0,开仓,SGS958
14,000568,700.0,0.0,多,stock,700.0,开仓,SGS958
15,000625,1700.0,0.0,多,stock,1700.0,开仓,SGS958
16,000630,5700.0,0.0,多,stock,5700.0,开仓,SGS958
17,000708,300.0,0.0,多,stock,300.0,开仓,SGS958
18,000725,34400.0,0.0,多,stock,34400.0,开仓,SGS958
19,000800,900.0,0.0,多,stock,900.0,开仓,SGS958
20,000858,700.0,0.0,多,stock,700.0,开仓,SGS958
21,000876,800.0,0.0,多,stock,800.0,开仓,SGS958
22,000963,200.0,0.0,多,stock,200.0,开仓,SGS958
23,000999,200.0,0.0,多,stock,200.0,开仓,SGS958
24,001289,100.0,0.0,多,stock,100.0,开仓,SGS958
25,001965,600.0,0.0,多,stock,600.0,开仓,SGS958
26,002001,400.0,0.0,多,stock,400.0,开仓,SGS958
27,002180,300.0,0.0,多,stock,300.0,开仓,SGS958
28,002230,800.0,0.0,多,stock,800.0,开仓,SGS958
29,002236,1800.0,0.0,多,stock,1800.0,开仓,SGS958
30,002252,1800.0,0.0,多,stock,1800.0,开仓,SGS958
31,002311,200.0,0.0,多,stock,200.0,开仓,SGS958
32,002352,700.0,0.0,多,stock,700.0,开仓,SGS958
33,002415,3300.0,0.0,多,stock,3300.0,开仓,SGS958
34,002459,700.0,0.0,多,stock,700.0,开仓,SGS958
35,002460,1000.0,0.0,多,stock,1000.0,开仓,SGS958
36,002475,1700.0,0.0,多,stock,1700.0,开仓,SGS958
37,002493,800.0,0.0,多,stock,800.0,开仓,SGS958
38,002594,900.0,0.0,多,stock,900.0,开仓,SGS958
39,002600,900.0,0.0,多,stock,900.0,开仓,SGS958
40,002601,600.0,0.0,多,stock,600.0,开仓,SGS958
41,002648,500.0,0.0,多,stock,500.0,开仓,SGS958
42,003816,2700.0,0.0,多,stock,2700.0,开仓,SGS958
43,300014,400.0,0.0,多,stock,400.0,开仓,SGS958
44,300015,1600.0,0.0,多,stock,1600.0,开仓,SGS958
45,300124,600.0,0.0,多,stock,600.0,开仓,SGS958
46,300316,600.0,0.0,多,stock,600.0,开仓,SGS958
47,300347,200.0,0.0,多,stock,200.0,开仓,SGS958
48,300418,300.0,0.0,多,stock,300.0,开仓,SGS958
49,300498,1800.0,0.0,多,stock,1800.0,开仓,SGS958
50,300628,500.0,0.0,多,stock,500.0,开仓,SGS958
51,300750,2300.0,0.0,多,stock,2300.0,开仓,SGS958
52,301236,200.0,0.0,多,stock,200.0,开仓,SGS958
54,600000,3300.0,0.0,多,stock,3300.0,开仓,SGS958
55,600009,400.0,0.0,多,stock,400.0,开仓,SGS958
56,600011,1200.0,0.0,多,stock,1200.0,开仓,SGS958
57,600015,5900.0,0.0,多,stock,5900.0,开仓,SGS958
58,600018,2500.0,0.0,多,stock,2500.0,开仓,SGS958
59,600019,2500.0,0.0,多,stock,2500.0,开仓,SGS958
60,600023,1100.0,0.0,多,stock,1100.0,开仓,SGS958
61,600026,1300.0,0.0,多,stock,1300.0,开仓,SGS958
62,600028,2400.0,0.0,多,stock,2400.0,开仓,SGS958
63,600029,1800.0,0.0,多,stock,1800.0,开仓,SGS958
64,600036,2000.0,0.0,多,stock,2000.0,开仓,SGS958
65,600039,700.0,0.0,多,stock,700.0,开仓,SGS958
66,600048,1900.0,0.0,多,stock,1900.0,开仓,SGS958
67,600061,2200.0,0.0,多,stock,2200.0,开仓,SGS958
68,600219,5900.0,0.0,多,stock,5900.0,开仓,SGS958
69,600346,600.0,0.0,多,stock,600.0,开仓,SGS958
70,600372,2200.0,0.0,多,stock,2200.0,开仓,SGS958
71,600377,100.0,0.0,多,stock,100.0,开仓,SGS958
72,600426,400.0,0.0,多,stock,400.0,开仓,SGS958
73,600436,100.0,0.0,多,stock,100.0,开仓,SGS958
74,600519,200.0,0.0,多,stock,200.0,开仓,SGS958
75,600547,600.0,0.0,多,stock,600.0,开仓,SGS958
76,600584,500.0,0.0,多,stock,500.0,开仓,SGS958
77,600588,1900.0,0.0,多,stock,1900.0,开仓,SGS958
78,600600,100.0,0.0,多,stock,100.0,开仓,SGS958
79,600660,300.0,0.0,多,stock,300.0,开仓,SGS958
80,600674,300.0,0.0,多,stock,300.0,开仓,SGS958
81,600690,1300.0,0.0,多,stock,1300.0,开仓,SGS958
82,600741,1400.0,0.0,多,stock,1400.0,开仓,SGS958
83,600803,100.0,0.0,多,stock,100.0,开仓,SGS958
84,600845,300.0,0.0,多,stock,300.0,开仓,SGS958
85,600886,400.0,0.0,多,stock,400.0,开仓,SGS958
86,600887,2200.0,0.0,多,stock,2200.0,开仓,SGS958
87,600900,2000.0,0.0,多,stock,2000.0,开仓,SGS958
88,600905,5000.0,0.0,多,stock,5000.0,开仓,SGS958
89,600918,2400.0,0.0,多,stock,2400.0,开仓,SGS958
90,600919,4600.0,0.0,多,stock,4600.0,开仓,SGS958
91,600926,1600.0,0.0,多,stock,1600.0,开仓,SGS958
92,600938,400.0,0.0,多,stock,400.0,开仓,SGS958
93,601077,1900.0,0.0,多,stock,1900.0,开仓,SGS958
94,601117,1200.0,0.0,多,stock,1200.0,开仓,SGS958
95,601166,12700.0,0.0,多,stock,12700.0,开仓,SGS958
96,601229,3100.0,0.0,多,stock,3100.0,开仓,SGS958
97,601238,2000.0,0.0,多,stock,2000.0,开仓,SGS958
98,601318,9600.0,0.0,多,stock,9600.0,开仓,SGS958
