,代码,市场,数量,相对权重,方向,量比,valuation_date,update_time
0,600977.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
1,600585.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
2,603866.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
3,300569.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
4,601933.SH,,300.0,,1,,2025-06-11,2025-06-11 17:58
5,601233.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
6,600079.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
7,002518.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
8,600398.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
9,601808.SH,,900.0,,0,,2025-06-11,2025-06-11 17:58
10,300183.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
11,002673.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
12,002472.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
13,688778.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
14,600908.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
15,600968.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
16,601963.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
17,002429.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
18,000878.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
19,300821.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
20,000723.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
21,600674.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
22,600328.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
23,002736.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
24,300146.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
25,600588.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
26,002293.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
27,605358.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
28,600925.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
29,002706.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
30,600761.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
31,601921.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
32,000100.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
33,300349.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
34,601609.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
35,002030.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
36,002563.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
37,601006.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
38,601398.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
39,600056.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
40,002268.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
41,000960.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
42,002603.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
43,601238.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
44,002038.SZ,,300.0,,1,,2025-06-11,2025-06-11 17:58
45,600998.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
46,600583.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
47,002407.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
48,002340.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
49,688032.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
50,000021.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
51,300724.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
52,000999.SZ,,10.0,,0,,2025-06-11,2025-06-11 17:58
53,601163.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
54,600120.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
55,601288.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
56,603035.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
57,601162.SH,,500.0,,1,,2025-06-11,2025-06-11 17:58
58,002540.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
59,603567.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
60,603328.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
61,600886.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
62,002351.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
63,601456.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
64,300383.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
65,600970.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
66,000786.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
67,002797.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
68,688568.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
69,300058.SZ,,400.0,,1,,2025-06-11,2025-06-11 17:58
70,603323.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
71,601665.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
72,603588.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
73,600548.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
74,603456.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
75,300017.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
76,603319.SH,,300.0,,1,,2025-06-11,2025-06-11 17:58
77,000739.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
78,002738.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
79,603659.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
80,002057.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
81,002960.SZ,,200.0,,0,,2025-06-11,2025-06-11 17:58
82,000060.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
83,603298.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
84,002585.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
85,600352.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
86,688525.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
87,000521.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
88,601567.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
89,600873.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
90,601128.SH,,170.0,,1,,2025-06-11,2025-06-11 17:58
91,601390.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
92,002601.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
93,002493.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
94,600582.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
95,601168.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
96,002803.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
97,600929.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
98,600380.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
99,601816.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
100,603156.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
101,600780.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
102,000050.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
103,600057.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
104,300118.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
105,600369.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
106,300206.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
107,600177.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
108,002008.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
109,600517.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
110,600667.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
111,000601.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
112,600351.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
113,000933.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
114,688106.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
115,300360.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
116,000591.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
117,600115.SH,,400.0,,1,,2025-06-11,2025-06-11 17:58
118,000027.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
119,600020.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
120,000818.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
121,600004.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
122,000338.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
123,600378.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
124,601997.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
125,600123.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
126,000719.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
127,002745.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
128,002635.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
129,000830.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
130,600335.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
131,002236.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
132,300684.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
133,601500.SH,,300.0,,1,,2025-06-11,2025-06-11 17:58
134,000783.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
135,600578.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
136,600018.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
137,002436.SZ,,700.0,,1,,2025-06-11,2025-06-11 17:58
138,601139.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
139,600269.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
140,002169.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
141,300140.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
142,301236.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
143,688072.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
144,600867.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
145,688153.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
146,600894.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
147,600350.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
148,600887.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
149,002283.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
150,600373.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
151,688728.SH,,200.0,,1,,2025-06-11,2025-06-11 17:58
152,002185.SZ,,500.0,,1,,2025-06-11,2025-06-11 17:58
153,002759.SZ,,39500.0,,0,,2025-06-11,2025-06-11 17:58
154,001286.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
155,000600.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
156,002117.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
157,600909.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
158,600919.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
159,000937.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
160,002416.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
161,000156.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
162,002091.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
163,300070.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
164,688295.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
165,002815.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
166,002698.SZ,,1200.0,,0,,2025-06-11,2025-06-11 17:58
167,002483.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
168,002386.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
169,603118.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
170,002966.SZ,,200.0,,1,,2025-06-11,2025-06-11 17:58
171,000034.SZ,,100.0,,1,,2025-06-11,2025-06-11 17:58
172,600655.SH,,100.0,,1,,2025-06-11,2025-06-11 17:58
