code,quantity,action
000100.SZ,3400.0,买入
000166.SZ,1500.0,买入
000301.SZ,500.0,买入
000333.SZ,400.0,买入
000338.SZ,2600.0,买入
000408.SZ,100.0,买入
000425.SZ,1400.0,买入
000538.SZ,100.0,买入
000568.SZ,100.0,买入
000625.SZ,900.0,买入
000630.SZ,3000.0,买入
000708.SZ,500.0,买入
000725.SZ,17700.0,买入
000786.SZ,200.0,买入
000858.SZ,300.0,买入
000876.SZ,400.0,买入
000938.SZ,200.0,买入
000999.SZ,100.0,买入
001289.SZ,100.0,买入
001965.SZ,300.0,买入
001979.SZ,600.0,买入
002001.SZ,200.0,买入
002028.SZ,100.0,买入
002179.SZ,200.0,买入
002230.SZ,1100.0,买入
002236.SZ,300.0,买入
002252.SZ,1000.0,买入
002311.SZ,100.0,买入
002352.SZ,300.0,买入
002415.SZ,1400.0,买入
002459.SZ,900.0,买入
002460.SZ,500.0,买入
002463.SZ,200.0,买入
002594.SZ,1300.0,买入
002601.SZ,300.0,买入
002736.SZ,500.0,买入
002920.SZ,100.0,买入
002938.SZ,100.0,买入
003816.SZ,1400.0,买入
300014.SZ,500.0,买入
300015.SZ,2200.0,买入
300122.SZ,200.0,买入
300124.SZ,300.0,买入
300316.SZ,100.0,买入
300347.SZ,100.0,买入
300418.SZ,100.0,买入
300498.SZ,1000.0,买入
300502.SZ,100.0,买入
300628.SZ,200.0,买入
300661.SZ,100.0,买入
300750.SZ,1000.0,买入
300759.SZ,100.0,买入
300832.SZ,100.0,买入
600000.SH,1700.0,买入
600009.SH,200.0,买入
600011.SH,600.0,买入
600015.SH,3100.0,买入
600018.SH,1300.0,买入
600019.SH,800.0,买入
600023.SH,300.0,买入
600025.SH,300.0,买入
600027.SH,300.0,买入
600028.SH,2100.0,买入
600029.SH,900.0,买入
600031.SH,800.0,买入
600036.SH,1100.0,买入
600039.SH,400.0,买入
600048.SH,1300.0,买入
600061.SH,400.0,买入
600188.SH,300.0,买入
600196.SH,200.0,买入
600219.SH,3200.0,买入
600276.SH,600.0,买入
600372.SH,400.0,买入
600406.SH,300.0,买入
600426.SH,200.0,买入
600460.SH,200.0,买入
600515.SH,2800.0,买入
600519.SH,100.0,买入
600547.SH,100.0,买入
600588.SH,900.0,买入
600600.SH,200.0,买入
600674.SH,200.0,买入
600690.SH,700.0,买入
600741.SH,300.0,买入
600803.SH,100.0,买入
600845.SH,200.0,买入
600875.SH,200.0,买入
600886.SH,400.0,买入
600887.SH,1100.0,买入
600900.SH,1000.0,买入
600905.SH,7100.0,买入
600918.SH,500.0,买入
600919.SH,2400.0,买入
600926.SH,800.0,买入
600938.SH,200.0,买入
600958.SH,900.0,买入
601066.SH,200.0,买入
601077.SH,1000.0,买入
601117.SH,700.0,买入
601166.SH,7500.0,买入
601229.SH,1700.0,买入
601238.SH,1000.0,买入
601318.SH,1900.0,买入
601328.SH,4300.0,买入
601336.SH,200.0,买入
601377.SH,3100.0,买入
601390.SH,1900.0,买入
601600.SH,3600.0,买入
601601.SH,1500.0,买入
601607.SH,200.0,买入
601618.SH,1100.0,买入
601669.SH,1300.0,买入
601728.SH,2200.0,买入
601766.SH,5600.0,买入
601808.SH,100.0,买入
601818.SH,3000.0,买入
601868.SH,1100.0,买入
601877.SH,200.0,买入
601881.SH,200.0,买入
601888.SH,200.0,买入
601898.SH,300.0,买入
601899.SH,2700.0,买入
601919.SH,1100.0,买入
601939.SH,1400.0,买入
601985.SH,700.0,买入
601998.SH,900.0,买入
603259.SH,400.0,买入
603288.SH,300.0,买入
603806.SH,200.0,买入
688036.SH,200.0,买入
688126.SH,300.0,买入
688223.SH,700.0,买入
688271.SH,100.0,买入
688472.SH,300.0,买入
688599.SH,200.0,买入
